ID,program,transfers,taken,maxcredits,maxterms,preferences-topics,preferences-instructors
1,BS,[],[],16,5,"[AI, theory]","[Mali,Cheng]"
2,BS,"[250,251]","[351,317]",15,5,[],[]
3,BS,"[425,459,469,422,557]","[150, 250]",16,7,[],[]
4,BS,"[150,250,251,317,337,351,361,395,431,458,535,537,594,595]",[],16,7,[],[]
5,BS,[],"[150,250,251,317,337,351,361,395,431,458,535,537,594,595]",16,7,[],[]
6,BS,"[425,459,557]","[150,250,251,317,337,351,361,395,431,458,535,537,594,595]",16,7,[],[]
7,BS,"[425,459,469,557]","[150,250,251,317,337,351,361,395,431,458,535,537,594,595]",16,7,[],[]
8,BS,[],"[150, 250]",16,7,[],[]
9,BS,[],"[150, 250]",2,7,[],[]
10,BS,[],"[150, 250]",16,1,[],[]
11,BS,[],[],18,7,[],[]
12,BS,"[425,459,469,557]","[150,250,251,317,337,351,361,395,431,458,535,537,594,595]",16,1,[],[]
13,BS,"[425,459,469,557]","[150,250,251,317,337,351,361,395,431,458,535,537,594,595]",16,0,[],[]
14,BS,[],[],18,0,[],[]
15,BS,[],[],0,7,[],[]
16,BS,[],[],0,0,[],[]
17,BS,"[250,251]","[317,351]",16,8,[],[]
